fips,county_name,state_name,net_migration,population_2016,percent_change
013259,Stewart County,Georgia,1103.0,5973.0,18.466
048169,Garza County,Texas,967.0,6391.0,15.131
048263,Kent County,Texas,112.0,747.0,14.993
008079,Mineral County,Colorado,109.0,744.0,14.651
048345,Motley County,Texas,164.0,1146.0,14.311
048235,Irion County,Texas,206.0,1543.0,13.351
013267,Tattnall County,Georgia,3345.0,25387.0,13.176
029169,Pulaski County,Missouri,6735.0,53204.0,12.659
048047,Brooks County,Texas,895.0,7190.0,12.448
012125,Union County,Florida,1867.0,15265.0,12.231
030069,Petroleum County,Montana,57.0,474.0,12.025
048253,Jones County,Texas,2302.0,19966.0,11.53
051750,Radford City,Virginia,1772.0,17295.0,10.246
008121,Washington County,Colorado,488.0,4786.0,10.196
022035,East Carroll Parish,Louisiana,734.0,7277.0,10.087
053037,Kittitas County,Washington,4330.0,43095.0,10.048
051720,Norton City,Virginia,392.0,4009.0,9.778
020195,Trego County,Kansas,282.0,2907.0,9.701
039009,Athens County,Ohio,6368.0,65886.0,9.665
032029,Storey County,Nevada,372.0,3876.0,9.598
051159,Richmond County,Virginia,838.0,8781.0,9.543
012003,Baker County,Florida,2530.0,27355.0,9.249
031091,Hooker County,Nebraska,66.0,714.0,9.244
013037,Calhoun County,Georgia,590.0,6534.0,9.03
030103,Treasure County,Montana,61.0,684.0,8.918
016003,Adams County,Idaho,343.0,3891.0,8.815
002068,Denali Borough,Alaska,170.0,1933.0,8.795
031171,Thomas County,Nebraska,60.0,693.0,8.658
017151,Pope County,Illinois,367.0,4291.0,8.553
051678,Lexington City,Virginia,612.0,7162.0,8.545
051660,Harrisonburg City,Virginia,4437.0,52675.0,8.423
002240,Southeast Fairbanks Census Area,Alaska,571.0,6812.0,8.382
051127,New Kent County,Virginia,1696.0,20377.0,8.323
048095,Concho County,Texas,328.0,4072.0,8.055
048229,Hudspeth County,Texas,282.0,3541.0,7.964
005099,Nevada County,Arkansas,672.0,8508.0,7.898
002282,Yakutat City and Borough,Alaska,50.0,635.0,7.874
031057,Dundy County,Nebraska,139.0,1770.0,7.853
020039,Decatur County,Kansas,228.0,2923.0,7.8
046009,Bon Homme County,South Dakota,536.0,6943.0,7.72
032009,Esmeralda County,Nevada,63.0,830.0,7.59
021063,Elliott County,Kentucky,571.0,7548.0,7.565
051017,Bath County,Virginia,335.0,4460.0,7.511
042119,Union County,Pennsylvania,3402.0,45519.0,7.474
051081,Greensville County,Virginia,873.0,11786.0,7.407
038083,Sheridan County,North Dakota,97.0,1311.0,7.399
006035,Lassen County,California,2311.0,31256.0,7.394
002230,Skagway Municipality,Alaska,80.0,1088.0,7.353
028055,Issaquena County,Mississippi,98.0,1337.0,7.33
012043,Glades County,Florida,959.0,13099.0,7.321
018161,Union County,Indiana,525.0,7185.0,7.307
037099,Jackson County,North Carolina,2919.0,41305.0,7.067
048425,Somervell County,Texas,596.0,8618.0,6.916
032027,Pershing County,Nevada,456.0,6618.0,6.89
048291,Liberty County,Texas,5457.0,79537.0,6.861
008053,Hinsdale County,Colorado,51.0,764.0,6.675
021201,Robertson County,Kentucky,142.0,2134.0,6.654
046027,Clay County,South Dakota,916.0,13768.0,6.653
048063,Camp County,Texas,844.0,12699.0,6.646
017069,Hardin County,Illinois,270.0,4067.0,6.639
026095,Luce County,Michigan,423.0,6430.0,6.579
048385,Real County,Texas,216.0,3297.0,6.551
037189,Watauga County,North Carolina,3459.0,53093.0,6.515
013141,Hancock County,Georgia,558.0,8578.0,6.505
022025,Catahoula Parish,Louisiana,647.0,10029.0,6.451
013031,Bulloch County,Georgia,4704.0,73116.0,6.434
030043,Jefferson County,Montana,738.0,11572.0,6.377
020043,Doniphan County,Kansas,495.0,7788.0,6.356
018105,Monroe County,Indiana,9092.0,144247.0,6.303
006091,Sierra County,California,185.0,2985.0,6.198
031013,Box Butte County,Nebraska,701.0,11325.0,6.19
055033,Dunn County,Wisconsin,2706.0,44267.0,6.113
038043,Kidder County,North Dakota,149.0,2449.0,6.084
026003,Alger County,Michigan,559.0,9255.0,6.04
037147,Pitt County,North Carolina,10585.0,176071.0,6.012
005077,Lee County,Arkansas,579.0,9672.0,5.986
031179,Wayne County,Nebraska,560.0,9366.0,5.979
013059,Clarke County,Georgia,7383.0,123561.0,5.975
012007,Bradford County,Florida,1598.0,26748.0,5.974
012013,Calhoun County,Florida,856.0,14406.0,5.942
012047,Hamilton County,Florida,844.0,14272.0,5.914
029147,Nodaway County,Missouri,1331.0,22625.0,5.883
056045,Weston County,Wyoming,420.0,7208.0,5.827
013171,Lamar County,Georgia,1062.0,18236.0,5.824
051075,Goochland County,Virginia,1286.0,22165.0,5.802
048055,Caldwell County,Texas,2344.0,40419.0,5.799
051690,Martinsville City,Virginia,766.0,13259.0,5.777
053075,Whitman County,Washington,2775.0,48164.0,5.762
048237,Jack County,Texas,509.0,8883.0,5.73
032033,White Pine County,Nevada,565.0,9873.0,5.723
021187,Owen County,Kentucky,614.0,10736.0,5.719
048319,Mason County,Texas,232.0,4057.0,5.719
049025,Kane County,Utah,401.0,7039.0,5.697
013219,Oconee County,Georgia,2033.0,35853.0,5.67
051119,Middlesex County,Virginia,605.0,10686.0,5.662
038065,Oliver County,North Dakota,105.0,1865.0,5.63
030039,Granite County,Montana,178.0,3163.0,5.628
021227,Warren County,Kentucky,6968.0,124122.0,5.614
054017,Doddridge County,West Virginia,482.0,8703.0,5.538
048499,Wood County,Texas,2383.0,43117.0,5.527
026073,Isabella County,Michigan,3910.0,70767.0,5.525
048445,Terry County,Texas,704.0,12759.0,5.518
040129,Roger Mills County,Oklahoma,206.0,3773.0,5.46
004011,Greenlee County,Arizona,517.0,9577.0,5.398
048163,Frio County,Texas,1040.0,19361.0,5.372
048115,Dawson County,Texas,694.0,12987.0,5.344
013291,Union County,Georgia,1175.0,22007.0,5.339
053023,Garfield County,Washington,118.0,2222.0,5.311
048299,Llano County,Texas,1065.0,20081.0,5.304
021225,Union County,Kentucky,790.0,14951.0,5.284
013183,Long County,Georgia,932.0,17658.0,5.278
046093,Meade County,South Dakota,1405.0,26770.0,5.248
031017,Brown County,Nebraska,156.0,2982.0,5.231
038093,Stutsman County,North Dakota,1080.0,21047.0,5.131
012065,Jefferson County,Florida,724.0,14115.0,5.129
017029,Coles County,Illinois,2668.0,52179.0,5.113
005067,Jackson County,Arkansas,883.0,17365.0,5.085
048401,Rusk County,Texas,2693.0,52965.0,5.084
047175,Van Buren County,Tennessee,289.0,5695.0,5.075
048407,San Jacinto County,Texas,1384.0,27361.0,5.058
047095,Lake County,Tennessee,384.0,7602.0,5.051
051530,Buena Vista City,Virginia,329.0,6529.0,5.039
045079,Richland County,South Carolina,20431.0,406008.0,5.032
037091,Hertford County,North Carolina,1224.0,24373.0,5.022
048143,Erath County,Texas,2068.0,41191.0,5.021
029209,Stone County,Missouri,1571.0,31307.0,5.018
046119,Sully County,South Dakota,70.0,1401.0,4.996
048207,Haskell County,Texas,290.0,5821.0,4.982
048373,Polk County,Texas,2311.0,46613.0,4.958
047015,Cannon County,Tennessee,681.0,13740.0,4.956
031115,Loup County,Nebraska,30.0,606.0,4.95
051045,Craig County,Virginia,254.0,5136.0,4.945
029219,Warren County,Missouri,1641.0,33532.0,4.894
042063,Indiana County,Pennsylvania,4233.0,86747.0,4.88
012045,Gulf County,Florida,774.0,15929.0,4.859
047057,Grainger County,Tennessee,1107.0,22848.0,4.845
028105,Oktibbeha County,Mississippi,2393.0,49510.0,4.833
013083,Dade County,Georgia,781.0,16162.0,4.832
013311,White County,Georgia,1363.0,28387.0,4.801
054061,Monongalia County,West Virginia,5013.0,104681.0,4.789
047083,Houston County,Tennessee,389.0,8124.0,4.788
020145,Pawnee County,Kansas,322.0,6769.0,4.757
048437,Swisher County,Texas,354.0,7477.0,4.735
021129,Lee County,Kentucky,319.0,6746.0,4.729
040067,Jefferson County,Oklahoma,293.0,6266.0,4.676
042027,Centre County,Pennsylvania,7372.0,160466.0,4.594
026143,Roscommon County,Michigan,1095.0,23912.0,4.579
